-3.9	-3.6	-3.3	-3	-2.7	-2.4	-2.1	-1.8	-1.5	-1.2	-0.9	-0.6																																																																													
0.0108	0.0114	0.011	0.0112	0.012	0.0108	0.0112	0.0108	0.0104	0.0112	0.0108	0.0128																																																																													
0.0128	0.0128	0.0128	0.013	0.0118	0.0122	0.013	0.0126	0.0128	0.0138	0.0136	0.0136																																																																													
																																																																																								
																																																																																								
																																																																																								
																																																																																								
		-3.9	0.0108	0.0128				-3.9	-3.6	-3.3	-3	-2.7	-2.4	-2.1	-1.8	-1.5	-1.2	-0.9	-0.6																																																																					
		-3.6	0.0114	0.0128				0.013	0.013	0.013	0.013	0.013	0.013	0.013	0.013	0.013	0.013	0.013	0.013																																																																					
		-3.3	0.011	0.0128				0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014																																																																					
		-3	0.0112	0.013																																																																																				
		-2.7	0.012	0.0118																																																																																				
		-2.4	0.0108	0.0122																																																																																				
		-2.1	0.0112	0.013			-3.9	0.013	0.014		-3.9	-3.6	-3.3	-3	-2.7	-2.4	-2.1	-1.8	-1.5	-1.2	-0.9	-0.6																																																																		
		-1.8	0.0108	0.0126			-3.6	0.013	0.014		-3.2958	-3.0058	-2.714	-2.418	-2.123	-1.831	-1.5384	-1.247	-0.9566	-0.6708	-0.391	-0.1316																																																																		
		-1.5	0.0104	0.0128			-3.3	0.013	0.014		-0.37	-0.3146	-0.262	-0.214	-0.172	-0.1322	-0.098	-0.0676	-0.0416	-0.018	-0.001	0.0094																																																																		
		-1.2	0.0112	0.0138			-3	0.013	0.014																																																																															
		-0.9	0.0108	0.0136			-2.7	0.013	0.014																																																																															
		-0.6	0.0128	0.0136			-2.4	0.013	0.014					-3.9	-3.2958	-0.37		-3.29	-0.3816																																																																					
							-2.1	0.013	0.014					-3.6	-3.0058	-0.3146		-2.998	-0.3284																																																																					
							-1.8	0.013	0.014					-3.3	-2.714	-0.262		-2.706	-0.2752																																																																					
							-1.5	0.013	0.014					-3	-2.418	-0.214		-2.411	-0.228																																																																					
							-1.2	0.013	0.014					-2.7	-2.123	-0.172		-2.119	-0.1842																																																																					
							-0.9	0.013	0.014					-2.4	-1.831	-0.1322		-1.8284	-0.146																																																																					
							-0.6	0.013	0.014					-2.1	-1.5384	-0.098		-1.539	-0.1122																																																																					
														-1.8	-1.247	-0.0676		-1.2502	-0.08																																																																					
														-1.5	-0.9566	-0.0416		-0.963	-0.0552																																																																					
														-1.2	-0.6708	-0.018		-0.6788	-0.0312																																																																					
														-0.9	-0.391	-0.001		-0.4008	-0.0148																																																																					
														-0.6	-0.1316	0.0094		-0.1412	-0.004																																																																					
																																																																																								
																																																																																								
										-3.9	-3.6	-3.3	-3	-2.7	-2.4	-2.1	-1.8	-1.5	-1.2	-0.9	-0.6																																																																			
										0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.011	0.011	0.0106	0.0108	0.0102																																																																			
										-0.3016	-0.2646	-0.1824	-0.155	-0.1348	-0.1164	-0.087	-0.06	-0.0354	-0.0024	0.0114	0.0124																																																																			
																																																																																								
										-3.9	0.01	-0.3016			-3.9	-3.6	-3.3	-3	-2.7	-2.4	-2.1	-1.8	-1.5	-1.2	-0.9	-0.6																																																														
										-3.6	0.01	-0.2646			0.01	0.0102	0.0102	0.01	0.0102	0.0108	0.0114	0.01	0.01	0.01	0.01	0.01																																																														
										-3.3	0.01	-0.1824			-0.1818	-0.1484	-0.1252	-0.1022	-0.0824	-0.0624	-0.0448	-0.0272	-0.015	-0.0016	0.007	0.0102																																																														
										-3	0.01	-0.155																																																																												
										-2.7	0.01	-0.1348																																																																												
										-2.4	0.01	-0.1164			-3.9	0.01	-0.1818																																																																							
										-2.1	0.01	-0.087			-3.6	0.0102	-0.1484																																																																							
										-1.8	0.011	-0.06			-3.3	0.0102	-0.1252																																																																							
										-1.5	0.011	-0.0354			-3	0.01	-0.1022																																																																							
										-1.2	0.0106	-0.0024			-2.7	0.0102	-0.0824																																																																							
										-0.9	0.0108	0.0114			-2.4	0.0108	-0.0624																																																																							
										-0.6	0.0102	0.0124			-2.1	0.0114	-0.0448																																																																							
															-1.8	0.01	-0.0272																																																																							
															-1.5	0.01	-0.015																																																																							
															-1.2	0.01	-0.0016																																																																							
