Freq.	V(vout)
1.00000000000000e+000	-4.54826795277373e-006,-1.50795396923542e-003
1.02305972984251e+000	-4.76044915005270e-006,-1.54272648938393e-003
1.04665121082543e+000	-4.98252876067776e-006,-1.57830081969712e-003
1.07078670498640e+000	-5.21496854841060e-006,-1.61469544724057e-003
1.09547875712233e+000	-5.45825181797248e-006,-1.65192928521241e-003
1.12074020130978e+000	-5.71288441987235e-006,-1.69002168275754e-003
1.14658416757562e+000	-5.97939580210296e-006,-1.72899243500725e-003
1.17302408872161e+000	-6.25834011089136e-006,-1.76886179334939e-003
1.20007370730629e+000	-6.55029734279131e-006,-1.80965047593441e-003
1.22774708278787e+000	-6.85587455051129e-006,-1.85137967842254e-003
1.25605859883189e+000	-7.17570710498444e-006,-1.89407108497773e-003
1.28502297078731e+000	-7.51046001630328e-006,-1.93774687951379e-003
1.31465525333508e+000	-7.86082931626293e-006,-1.98242975719865e-003
1.34497084831302e+000	-8.22754350538775e-006,-2.02814293622232e-003
1.37598551272117e+000	-8.61136506744545e-006,-2.07491016983499e-003
1.40771536691173e+000	-9.01309205459824e-006,-2.12275575866081e-003
1.44017690296786e+000	-9.43355974648240e-006,-2.17170456329407e-003
1.47338699327572e+000	-9.87364238666460e-006,-2.22178201718398e-003
1.50736289929412e+000	-1.03342550000812e-005,-2.27301413981455e-003
1.54212228052647e+000	-1.08163552952383e-005,-2.32542755018625e-003
1.57768320369952e+000	-1.13209456551224e-005,-2.37904948060634e-003
1.61406415215389e+000	-1.18490752209574e-005,-2.43390779079474e-003
1.65128403545104e+000	-1.24018420731384e-005,-2.49003098231255e-003
1.68936219920179e+000	-1.29803955138691e-005,-2.54744821332055e-003
1.72831843512153e+000	-1.35859384562471e-005,-2.60618931367499e-003
1.76817299131726e+000	-1.42197299247572e-005,-2.66628480036828e-003
1.80894658281185e+000	-1.48830876723661e-005,-2.72776589332236e-003
1.85066040231103e+000	-1.55773909196521e-005,-2.79066453154260e-003
1.89333613121855e+000	-1.63040832216620e-005,-2.85501338964014e-003
1.93699595090551e+000	-1.70646754684413e-005,-2.92084589473129e-003
1.98166255423942e+000	-1.78607490254747e-005,-2.98819624372177e-003
2.02735915737920e+000	-1.86939590205514e-005,-3.05709942098503e-003
2.07410951184210e+000	-1.95660377838809e-005,-3.12759121644290e-003
2.12193791684895e+000	-2.04787984486031e-005,-3.19970824405758e-003
2.17086923195407e+000	-2.14341387191592e-005,-3.27348796074432e-003
2.22092888996634e+000	-2.24340448153524e-005,-3.34896868571375e-003
2.27214291016839e+000	-2.34805956002796e-005,-3.42618962025345e-003
2.32453791184044e+000	-2.45759669006996e-005,-3.50519086795843e-003
2.37814112809615e+000	-2.57224360288036e-005,-3.58601345542046e-003
2.43298042003741e+000	-2.69223865147714e-005,-3.66869935338586e-003
2.48908429123558e+000	-2.81783130599270e-005,-3.75329149839258e-003
2.54648190254671e+000	-2.94928267207698e-005,-3.83983381489650e-003
2.60520308726827e+000	-3.08686603346353e-005,-3.92837123789775e-003
2.66527836664555e+000	-3.23086741982343e-005,-4.01894973607791e-003
2.72673896573548e+000	-3.38158620108489e-005,-4.11161633545873e-003
2.78961682963638e+000	-3.53933570945002e-005,-4.20641914359439e-003
2.85394464009191e+000	-3.70444389039920e-005,-4.30340737430762e-003
2.91975583247790e+000	-3.87725398403163e-005,-4.40263137298220e-003
2.98708461318093e+000	-4.05812523815452e-005,-4.50414264242308e-003
3.05596597737760e+000	-4.24743365459806e-005,-4.60799386929643e-003
3.12643572722382e+000	-4.44557277030291e-005,-4.71423895116169e-003
3.19853049046357e+000	-4.65295447479774e-005,-4.82293302410797e-003
3.27228773946669e+000	-4.87000986575991e-005,-4.93413249100755e-003
3.34774581070574e+000	-5.09719014443084e-005,-5.04789505039925e-003
3.42494392468201e+000	-5.33496755274014e-005,-5.16427972601442e-003
3.50392220631091e+000	-5.58383635407728e-005,-5.28334689695914e-003
3.58472170577761e+000	-5.84431385974179e-005,-5.40515832856551e-003
3.66738441987342e+000	-6.11694150319374e-005,-5.52977720392619e-003
3.75195331382433e+000	-6.40228596432840e-005,-5.65726815612520e-003
3.83847234362282e+000	-6.70094034609866e-005,-5.78769730117954e-003
3.92698647887470e+000	-7.01352540591806e-005,-5.92113227170526e-003
4.01754172617274e+000	-7.34069084438974e-005,-6.05764225132248e-003
