iref	V(vin)	V(vo)	I(Rl)
8.800000000000017e-004	4.345806e+000	3.696654e+000	8.696654e-004
8.900000000000017e-004	4.345400e+000	3.789684e+000	8.789684e-004
9.000000000000017e-004	4.344999e+000	3.882589e+000	8.882589e-004
9.100000000000017e-004	4.344603e+000	3.975370e+000	8.975370e-004
9.200000000000018e-004	4.344211e+000	4.068027e+000	9.068027e-004
9.300000000000018e-004	4.343822e+000	4.160559e+000	9.160559e-004
9.400000000000018e-004	4.343438e+000	4.252966e+000	9.252966e-004
9.500000000000018e-004	4.343058e+000	4.345237e+000	9.345238e-004
9.600000000000019e-004	4.342682e+000	4.437307e+000	9.437308e-004
9.700000000000019e-004	4.342311e+000	4.528758e+000	9.528758e-004
9.800000000000019e-004	4.341949e+000	4.617170e+000	9.617170e-004
9.900000000000020e-004	4.341610e+000	4.693747e+000	9.693747e-004
1.000000000000000e-003	4.341315e+000	4.746074e+000	9.746074e-004
