iref	V(vin)	V(vo)	I(Iref)	I(Rl)
9.120000000000016e-005	4.426411e+000	-4.052036e+000	9.120000e-005	9.479636e-005
9.130000000000016e-005	4.426372e+000	-4.051002e+000	9.130000e-005	9.489986e-005
9.140000000000016e-005	4.426333e+000	-4.049966e+000	9.140000e-005	9.500336e-005
9.150000000000016e-005	4.426295e+000	-4.048931e+000	9.150000e-005	9.510687e-005
9.160000000000017e-005	4.426256e+000	-4.047896e+000	9.160000e-005	9.521037e-005
9.170000000000017e-005	4.426217e+000	-4.046861e+000	9.170000e-005	9.531387e-005
9.180000000000017e-005	4.426178e+000	-4.045826e+000	9.180000e-005	9.541737e-005
9.190000000000017e-005	4.426140e+000	-4.044791e+000	9.190000e-005	9.552086e-005
9.200000000000018e-005	4.426102e+000	-4.043756e+000	9.200000e-005	9.562436e-005
9.210000000000018e-005	4.426063e+000	-4.042721e+000	9.210000e-005	9.572785e-005
9.220000000000018e-005	4.426025e+000	-4.041687e+000	9.220000e-005	9.583135e-005
9.230000000000018e-005	4.425986e+000	-4.040652e+000	9.230000e-005	9.593483e-005
9.240000000000019e-005	4.425948e+000	-4.039617e+000	9.240000e-005	9.603833e-005
9.250000000000019e-005	4.425910e+000	-4.038582e+000	9.250000e-005	9.614181e-005
9.260000000000019e-005	4.425871e+000	-4.037547e+000	9.260000e-005	9.624531e-005
9.270000000000019e-005	4.425833e+000	-4.036512e+000	9.270000e-005	9.634879e-005
9.280000000000020e-005	4.425795e+000	-4.035477e+000	9.280000e-005	9.645228e-005
9.290000000000020e-005	4.425757e+000	-4.034442e+000	9.290000e-005	9.655576e-005
9.300000000000020e-005	4.425719e+000	-4.033408e+000	9.300000e-005	9.665924e-005
9.310000000000020e-005	4.425681e+000	-4.032373e+000	9.310000e-005	9.676272e-005
9.320000000000021e-005	4.425642e+000	-4.031338e+000	9.320000e-005	9.686620e-005
9.330000000000021e-005	4.425605e+000	-4.030303e+000	9.330000e-005	9.696968e-005
9.340000000000021e-005	4.425567e+000	-4.029268e+000	9.340000e-005	9.707316e-005
9.350000000000021e-005	4.425529e+000	-4.028234e+000	9.350000e-005	9.717663e-005
9.360000000000022e-005	4.425491e+000	-4.027199e+000	9.360000e-005	9.728011e-005
9.370000000000022e-005	4.425453e+000	-4.026164e+000	9.370000e-005	9.738358e-005
9.380000000000022e-005	4.425416e+000	-4.025129e+000	9.380000e-005	9.748706e-005
9.390000000000022e-005	4.425378e+000	-4.024095e+000	9.390000e-005	9.759053e-005
9.400000000000023e-005	4.425340e+000	-4.023060e+000	9.400000e-005	9.769400e-005
9.410000000000023e-005	4.425303e+000	-4.022026e+000	9.410000e-005	9.779746e-005
9.420000000000023e-005	4.425265e+000	-4.020991e+000	9.420000e-005	9.790093e-005
9.430000000000023e-005	4.425227e+000	-4.019956e+000	9.430000e-005	9.800440e-005
9.440000000000024e-005	4.425189e+000	-4.018921e+000	9.440000e-005	9.810786e-005
9.450000000000024e-005	4.425152e+000	-4.017887e+000	9.450000e-005	9.821133e-005
9.460000000000024e-005	4.425115e+000	-4.016852e+000	9.460000e-005	9.831479e-005
9.470000000000024e-005	4.425077e+000	-4.015818e+000	9.470000e-005	9.841825e-005
9.480000000000024e-005	4.425040e+000	-4.014783e+000	9.480000e-005	9.852171e-005
9.490000000000025e-005	4.425003e+000	-4.013748e+000	9.490000e-005	9.862517e-005
9.500000000000001e-005	4.424965e+000	-4.012714e+000	9.500000e-005	9.872863e-005
