time	V(vo)
4.252759804106086e-003	1.548471e-001
4.294493753267727e-003	1.547636e-001
4.344493753267727e-003	1.545003e-001
4.394493753267726e-003	1.540757e-001
4.469493753267726e-003	1.532308e-001
4.494493753267726e-003	1.529028e-001
4.519493753267725e-003	1.525915e-001
4.544493753267725e-003	1.522969e-001
4.569493753267725e-003	1.520190e-001
4.594493753267725e-003	1.517579e-001
4.619493753267725e-003	1.515135e-001
4.644493753267725e-003	1.512859e-001
4.694493753267724e-003	1.509849e-001
4.737952739996765e-003	1.508671e-001
4.782117013155295e-003	1.509046e-001
4.832117013155295e-003	1.511250e-001
4.882117013155295e-003	1.515130e-001
4.932117013155294e-003	1.520322e-001
4.957117013155294e-003	1.523443e-001
4.982117013155294e-003	1.526506e-001
5.007117013155294e-003	1.529509e-001
5.032117013155294e-003	1.532454e-001
5.057117013155294e-003	1.535340e-001
5.082117013155293e-003	1.538167e-001
5.107117013155293e-003	1.540935e-001
5.157117013155293e-003	1.545129e-001
5.207117013155293e-003	1.547698e-001
5.248114310432067e-003	1.548482e-001
5.288271401657220e-003	1.547842e-001
5.338271401657220e-003	1.545425e-001
5.388271401657220e-003	1.541360e-001
5.438271401657219e-003	1.536040e-001
5.463271401657219e-003	1.532880e-001
5.488271401657219e-003	1.529798e-001
5.513271401657219e-003	1.526792e-001
5.538271401657219e-003	1.523864e-001
5.563271401657219e-003	1.521013e-001
5.588271401657219e-003	1.518239e-001
5.613271401657218e-003	1.515542e-001
5.663271401657218e-003	1.511529e-001
5.713271401657218e-003	1.509168e-001
5.756692448715711e-003	1.508631e-001
5.800896199163217e-003	1.509668e-001
5.850896199163217e-003	1.512526e-001
5.900896199163216e-003	1.516951e-001
5.975896199163216e-003	1.525547e-001
6.000000000000000e-003	-1.#IND00e+000
