time	V(vo)
4.714652887793104e-006	1.430926e+000
4.807942448669885e-006	1.423019e+000
4.990743205690938e-006	1.409001e+000
5.171512027603697e-006	1.395900e+000
5.519008619736648e-006	1.371457e+000
5.913324648049703e-006	1.344056e+000
6.701956704675815e-006	1.290115e+000
8.279220817928038e-006	1.185222e+000
1.089601156044177e-005	1.017946e+000
1.304952060610494e-005	8.868538e-001
1.553994074787739e-005	7.410898e-001
1.571369444239973e-005	7.310501e-001
1.606120183144440e-005	7.107970e-001
1.675621660953374e-005	6.689560e-001
1.722949296403423e-005	6.383446e-001
1.746267288155552e-005	6.216139e-001
1.750753677045263e-005	6.179560e-001
1.759726454824686e-005	6.094432e-001
1.772544166543733e-005	5.947142e-001
1.780032683659800e-005	5.832176e-001
1.784797224339096e-005	5.725763e-001
1.789296093729484e-005	5.574861e-001
1.793324619386497e-005	5.364329e-001
1.797390073881373e-005	5.078250e-001
1.802193981723805e-005	4.835699e-001
1.803757242668834e-005	5.039054e-001
1.804621027087557e-005	5.505858e-001
1.805411613180870e-005	6.330997e-001
1.806430448668705e-005	7.775980e-001
1.807469844969707e-005	9.335971e-001
1.808703809057559e-005	1.091674e+000
1.809767953748422e-005	1.187130e+000
1.810857480419936e-005	1.251011e+000
1.812078586497175e-005	1.309316e+000
1.813385847973888e-005	1.371369e+000
1.813948444165072e-005	1.395320e+000
1.814567835952355e-005	1.414963e+000
1.815099170795587e-005	1.426607e+000
1.815653342780929e-005	1.434955e+000
1.816313251005471e-005	1.441963e+000
1.817093377837419e-005	1.447713e+000
1.818011116952138e-005	1.452185e+000
1.819180918176051e-005	1.455633e+000
1.820762810267755e-005	1.458095e+000
1.822305260897643e-005	1.458982e+000
1.824305053955225e-005	1.458771e+000
1.826395132743208e-005	1.457619e+000
1.828764134727875e-005	1.455562e+000
1.831165393284321e-005	1.452950e+000
1.834832520026878e-005	1.448439e+000
1.838253268633655e-005	1.444023e+000
1.843925538823590e-005	1.436743e+000
1.849221841671079e-005	1.430400e+000
1.858922865917674e-005	1.419992e+000
1.867988468091515e-005	1.411541e+000
1.885875984107813e-005	1.397019e+000
1.902418119998099e-005	1.384732e+000
1.931352573310084e-005	1.364278e+000
1.961123279167539e-005	1.343568e+000
2.018962731801859e-005	1.303856e+000
2.130533288973752e-005	1.228897e+000
2.353674403317539e-005	1.083565e+000
2.535436373182718e-005	9.699936e-001
2.748661330659242e-005	8.426309e-001
2.986775685543556e-005	7.041827e-001
3.005876682444308e-005	6.929871e-001
3.044078676245812e-005	6.697874e-001
3.083820840018012e-005	6.446488e-001
3.091712290355315e-005	6.393048e-001
3.107495191029920e-005	6.275191e-001
3.127150889412720e-005	6.110428e-001
3.135998576797415e-005	6.018632e-001
3.146177357647782e-005	5.882032e-001
3.151336094834290e-005	5.785069e-001
3.156499393605533e-005	5.640841e-001
3.160637839853239e-005	5.461763e-001
3.164649046821320e-005	5.189987e-001
3.168852278288972e-005	4.856624e-001
3.171675722510678e-005	4.814914e-001
3.172903378962228e-005	5.104275e-001
3.173626171240924e-005	5.615442e-001
3.174518996620339e-005	6.690869e-001
3.175508592049373e-005	8.190315e-001
3.176631172205332e-005	9.890591e-001
3.177837168681985e-005	1.135967e+000
3.178835806281422e-005	1.217869e+000
3.179932857300596e-005	1.278091e+000
3.181119551060814e-005	1.334813e+000
3.182179528928192e-005	1.386046e+000
3.182718938035439e-005	1.409289e+000
3.183356342608839e-005	1.429521e+000
3.183951478364315e-005	1.442344e+000
3.184561822151680e-005	1.451205e+000
3.185194129830694e-005	1.457558e+000
3.186022435809685e-005	1.463203e+000
3.187073734719650e-005	1.467852e+000
3.188259427915488e-005	1.470925e+000
3.189828444039468e-005	1.472934e+000
3.191494571299792e-005	1.473558e+000
3.193693817900267e-005	1.472995e+000
3.195824268655125e-005	1.471558e+000
3.198196751620079e-005	1.469256e+000
3.200713534401745e-005	1.466331e+000
3.203729284542908e-005	1.462468e+000
3.206759481450762e-005	1.458429e+000
3.211221977454394e-005	1.452502e+000
3.215336657521891e-005	1.447298e+000
3.222144393964630e-005	1.439352e+000
3.228504418963347e-005	1.432712e+000
3.239725099926923e-005	1.422381e+000
3.250259674837888e-005	1.413745e+000
3.271193815153528e-005	1.398091e+000
3.292821293773636e-005	1.382640e+000
