Freq.	V(vo)	V(vo1)	V(vo2)	Ib(Q3)
1.76817299131726e+002	(2.34424478612036e+001dB,1.78362671354451e+002°)	(-4.66027199337730e+001dB,-8.65385850308287e-001°)	(2.34428308365623e+001dB,1.78362795438091e+002°)	(-1.52230241028680e+002dB,3.36000790184360e-002°)
1.80894658281185e+002	(2.34422828095155e+001dB,1.78324936198017e+002°)	(-4.66028480584016e+001dB,-8.85322457537255e-001°)	(2.34426657848771e+001dB,1.78325063142991e+002°)	(-1.52230240941844e+002dB,3.43748843375048e-002°)
1.85066040231103e+002	(2.34421100647111e+001dB,1.78286332378668e+002°)	(-4.66029821543946e+001dB,-9.05717456644788e-001°)	(2.34424930400758e+001dB,1.78286462250959e+002°)	(-1.52230240850887e+002dB,3.51675562152208e-002°)
1.89333613121855e+002	(2.34419292684767e+001dB,1.78246839971309e+002°)	(-4.66031224983889e+001dB,-9.26581323349213e-001°)	(2.34423122438447e+001dB,1.78246972838420e+002°)	(-1.52230240755681e+002dB,3.59785066421774e-002°)
1.93699595090551e+002	(2.34417400459899e+001dB,1.78206438598838e+002°)	(-4.66032693829913e+001dB,-9.47924767966975e-001°)	(2.34421230213612e+001dB,1.78206574529829e+002°)	(-1.52230240655964e+002dB,3.68081570744758e-002°)
1.98166255423942e+002	(2.34415420048354e+001dB,1.78165107422315e+002°)	(-4.66034231107350e+001dB,-9.69758740950731e-001°)	(2.34419249802103e+001dB,1.78165246487838e+002°)	(-1.52230240551694e+002dB,3.76569387402757e-002°)
2.02735915737920e+002	(2.34413347345295e+001dB,1.78122825130808e+002°)	(-4.66035840016171e+001dB,-9.92094437285563e-001°)	(2.34417177099081e+001dB,1.78122967403145e+002°)	(-1.52230240442523e+002dB,3.85252927595954e-002°)
2.07410951184210e+002	(2.34411178053817e+001dB,1.78079569931182e+002°)	(-4.66037523876732e+001dB,-1.01494330215808e+000°)	(2.34415007807642e+001dB,1.78079715484279e+002°)	(-1.52230240328316e+002dB,3.94136704353618e-002°)
2.12193791684895e+002	(2.34408907678152e+001dB,1.78035319537575e+002°)	(-4.66039286178033e+001dB,-1.03831703575170e+000°)	(2.34412737432018e+001dB,1.78035468447088e+002°)	(-1.52230240208710e+002dB,4.03225335119362e-002°)
2.17086923195407e+002	(2.34406531514198e+001dB,1.77990051160743e+002°)	(-4.66041130579316e+001dB,-1.06222759855400e+000°)	(2.34410361268107e+001dB,1.77990203504069e+002°)	(-1.52230240083569e+002dB,4.12523543240198e-002°)
2.22092888996634e+002	(2.34404044637793e+001dB,1.77943741497237e+002°)	(-4.66043060876158e+001dB,-1.08668721712359e+000°)	(2.34407874391746e+001dB,1.77943897353559e+002°)	(-1.52230239952524e+002dB,4.22036161388895e-002°)
2.27214291016839e+002	(2.34401441898981e+001dB,1.77896366718238e+002°)	(-4.66045081096630e+001dB,-1.11170838859333e+000°)	(2.34405271652980e+001dB,1.77896526168564e+002°)	(-1.52230239815462e+002dB,4.31768133516961e-002°)
2.32453791184044e+002	(2.34398717906185e+001dB,1.77847902458418e+002°)	(-4.66047195401753e+001dB,-1.13730388728706e+000°)	(2.34402547660233e+001dB,1.77848065585626e+002°)	(-1.52230239671964e+002dB,4.41724517343763e-002°)
2.37814112809615e+002	(2.34395867018138e+001dB,1.77798323804409e+002°)	(-4.66049408154814e+001dB,-1.16348676966310e+000°)	(2.34399696772238e+001dB,1.77798490693286e+002°)	(-1.52230239521751e+002dB,4.51910487787006e-002°)
