Freq.	V(vo)	V(vo1)	V(vo2)	Ib(Q3)
3.05596597737760e+002	-1.48334377379161e+001,7.32820816266815e-001	4.67136370504692e-003,-1.21858893788730e-004	-1.48340945322470e+001,7.32797605089382e-001	2.44617718093157e-008,2.47929182383272e-011
3.12643572722382e+002	-1.48317548835779e+001,7.49634501665648e-001	4.67108437892265e-003,-1.24654824295788e-004	-1.48324117313578e+001,7.49610757943345e-001	2.44617719536442e-008,2.53646292676433e-011
3.19853049046357e+002	-1.48299939305058e+001,7.66829912836467e-001	4.67079208989988e-003,-1.27514233436291e-004	-1.48306508342151e+001,7.66805624479309e-001	2.44617721049577e-008,2.59495233101060e-011
3.27228773946669e+002	-1.48281512741172e+001,7.84415430565039e-001	4.67048623984401e-003,-1.30438515023596e-004	-1.48288082363509e+001,7.84390585217642e-001	2.44617722634151e-008,2.65479043226405e-011
3.34774581070574e+002	-1.48262231454320e+001,8.02399599357564e-001	4.67016620284908e-003,-1.33429090083532e-004	-1.48268801689048e+001,8.02374184393967e-001	2.44617724291113e-008,2.71600832756989e-011
3.42494392468201e+002	-1.48242056037001e+001,8.20791129156604e-001	4.66983132431691e-003,-1.36487407154578e-004	-1.48248626912519e+001,8.20765131675029e-001	2.44617726023406e-008,2.77863783070248e-011
3.50392220631091e+002	-1.48220945285900e+001,8.39598896940297e-001	4.66948092087706e-003,-1.39614942622446e-004	-1.48227516831915e+001,8.39572303757865e-001	2.44617727836293e-008,2.84271148915540e-011
3.58472170577761e+002	-1.48198856124797e+001,8.58831948254295e-001	4.66911427743086e-003,-1.42813200885328e-004	-1.48205428372383e+001,8.58804745901690e-001	2.44617729735832e-008,2.90826259915327e-011
3.66738441987342e+002	-1.48175743520619e+001,8.78499498579752e-001	4.66873064651810e-003,-1.46083714623504e-004	-1.48182316502283e+001,8.78471673295844e-001	2.44617731721942e-008,2.97532522650488e-011
3.75195331382433e+002	-1.48151560397010e+001,8.98610934571389e-001	4.66832924703411e-003,-1.49428045016212e-004	-1.48158134146751e+001,8.98582472297820e-001	2.44617733798770e-008,3.04393422080037e-011
3.83847234362282e+002	-1.48126257545571e+001,9.19175815157391e-001	4.66790926183823e-003,-1.52847781871155e-004	-1.48132832098955e+001,9.19146701533120e-001	2.44617735973607e-008,3.11412523594103e-011
3.92698647887470e+002	-1.48099783530949e+001,9.40203872438034e-001	4.66746983739983e-003,-1.56344543847869e-004	-1.48106358925171e+001,9.40174092793862e-001	2.44617738248196e-008,3.18593474539872e-011
4.01754172617274e+002	-1.48072084471293e+001,9.61705011215366e-001	4.66701012395470e-003,-1.59919981205578e-004	-1.48078660802669e+001,9.61674550941380e-001	2.44617740629375e-008,3.25940006701224e-011
4.11018515300929e+002	-1.48043104429846e+001,9.83689314343411e-001	4.66652910311384e-003,-1.63575765237934e-004	-1.48049681681644e+001,9.83658157773147e-001	2.44617743119156e-008,3.33455937438574e-011
4.20496491224037e+002	-1.48012784567255e+001,1.00616703579195e+000	4.66602584442278e-003,-1.67313604357242e-004	-1.48019362782027e+001,1.00613516729885e+000	2.44617745724502e-008,3.41145172461829e-011
4.30193026711386e+002	-1.47981063532579e+001,1.02914860557533e+000	4.66549932761998e-003,-1.71135233235282e-004	-1.47987642754828e+001,1.02911600920261e+000	2.44617748450267e-008,3.49011707222722e-011
4.40113161687482e+002	-1.47947877215729e+001,1.05264462821575e+000	4.66494849039725e-003,-1.75042415846776e-004	-1.47954457491993e+001,1.05261128767087e+000	2.44617751303502e-008,3.57059629478196e-011
4.50262052296127e+002	-1.47913158639844e+001,1.07666588238820e+000	4.66437221947103e-003,-1.79036944922626e-004	-1.47919740018788e+001,1.07663178103737e+000	2.44617754286019e-008,3.65293121058535e-011
4.60644973580410e+002	-1.47876837828744e+001,1.10122331997028e+000	4.66376935491089e-003,-1.83120642252406e-004	-1.47883420361255e+001,1.10118844083296e+000	2.44617757406815e-008,3.73716460204460e-011
4.71267322224483e+002	-1.47838841689300e+001,1.12632806502727e+000	4.66313868150289e-003,-1.87295358035009e-004	-1.47845425428588e+001,1.12629239077076e+000	2.44617760672796e-008,3.82334023580990e-011
4.82134619358582e+002	-1.47799093744331e+001,1.15199141065637e+000	4.66247897715134e-003,-1.91562974414667e-004	-1.47805678803336e+001,1.15195492403714e+000	2.44617764089748e-008,3.91150289195531e-011
4.93252513428712e+002	-1.47757514500444e+001,1.17822482304298e+000	4.66178883069698e-003,-1.95925391703386e-004	-1.47764100880011e+001,1.17818750557129e+000	2.44617767663173e-008,4.00169837582716e-011
5.04626783132516e+002	-1.47714020557138e+001,1.20503993030815e+000	4.66106690334797e-003,-2.00384547629538e-004	-1.47720608318078e+001,1.20500176356291e+000	2.44617771400269e-008,4.09397355222037e-011
5.16263340422846e+002	-1.47668524955563e+001,1.23244852546518e+000	4.66031175222850e-003,-2.04942403991009e-004	-1.47675114161449e+001,1.23240949065197e+000	2.44617775312524e-008,4.18837636672988e-011
5.28168233580588e+002	-1.47620936904385e+001,1.26046256169232e+000	4.65952186956857e-003,-2.09600949164342e-004	-1.47627527621674e+001,1.26042263963838e+000	2.44617779403718e-008,4.28495586532167e-011
5.40347650358352e+002	-1.47571161617691e+001,1.28909414839273e+000	4.65869568258592e-003,-2.14362197665537e-004	-1.47577753915849e+001,1.28905331954198e+000	2.44617783680434e-008,4.38376222822365e-011
5.52807921196649e+002	-1.47519100031772e+001,1.31835554511815e+000	4.65783159167175e-003,-2.19228192954450e-004	-1.47525694040605e+001,1.31831379003768e+000	2.44617788155932e-008,4.48484678903021e-011
5.65555522514243e+002	-1.47464649124561e+001,1.34825916307069e+000	4.65692779760176e-003,-2.24200991996403e-004	-1.47471244862741e+001,1.34821646092394e+000	2.44617792836780e-008,4.58826206702859e-011
5.78597080074360e+002	-1.47407701007960e+001,1.37881754951625e+000	4.65598255339443e-003,-2.29282686050048e-004	-1.47414298554797e+001,1.37877387956943e+000	2.44617797734689e-008,4.69406178668714e-011
5.91939372428539e+002	-1.47348143233056e+001,1.41004338775741e+000	4.65499399337380e-003,-2.34475385350162e-004	-1.47354742671432e+001,1.40999872887531e+000	2.44617802854025e-008,4.80230091459177e-011
6.05589334439886e+002	-1.47285858485643e+001,1.44194948832334e+000	4.65396016995849e-003,-2.39781221257268e-004	-1.47292459902166e+001,1.44190381896536e+000	2.44617808210072e-008,4.91303568166013e-011
6.19554060887574e+002	-1.47220724268696e+001,1.47454877895327e+000	4.65287909542486e-003,-2.45202349257711e-004	-1.47227327810943e+001,1.47450207774147e+000	2.44617813810751e-008,5.02632361202704e-011
6.33840810154470e+002	-1.47152613198168e+001,1.50785430311197e+000	4.65174856439159e-003,-2.50740930709942e-004	-1.47159218903578e+001,1.50780654712505e+000	2.44617819665202e-008,5.14222356051286e-011
6.48457007999789e+002	-1.47081392059078e+001,1.54187919887790e+000	4.65056641165612e-003,-2.56399156197295e-004	-1.47088000026425e+001,1.54183036533798e+000	2.44617825791867e-008,5.26079573002174e-011
6.63410251418746e+002	-1.47006922090771e+001,1.57663669542874e+000	4.64933033401257e-003,-2.62179227087978e-004	-1.47013532423235e+001,1.57658676113941e+000	2.44617832193590e-008,5.38210171532690e-011
6.78708312591213e+002	-1.46929058526900e+001,1.61214009714343e+000	4.64803797283647e-003,-2.68083362175010e-004	-1.46935671389224e+001,1.61208903911246e+000	2.44617838887200e-008,5.50620452972395e-011
6.94359142921431e+002	-1.46847650859426e+001,1.64840277845536e+000	4.64668674122266e-003,-2.74113777656975e-004	-1.46854266307173e+001,1.64835057203126e+000	2.44617845887495e-008,5.63316863286025e-011
7.10370877170875e+002	-1.46762541886034e+001,1.68543815747331e+000	4.64527407376001e-003,-2.80272711316900e-004	-1.46769160036752e+001,1.68538477819150e+000	2.44617853209998e-008,5.76305997409718e-011
7.26751837686421e+002	-1.46673567841771e+001,1.72325968603016e+000	4.64379729663560e-003,-2.86562407179731e-004	-1.46680188875078e+001,1.72320510966878e+000	2.44617860860149e-008,5.89594601710643e-011
7.43510538726017e+002	-1.46580558525233e+001,1.76188083920557e+000	4.64225349627919e-003,-2.92985097908218e-004	-1.46587182512382e+001,1.76182503979518e+000	2.44617868861201e-008,6.03189578071095e-011
7.60655690884097e+002	-1.46483336332255e+001,1.80131508394272e+000	4.64063976936904e-003,-2.99543030229848e-004	-1.46489963407042e+001,1.80125803574152e+000	2.44617877225300e-008,6.17097987483244e-011
7.78196205619051e+002	-1.46381716373890e+001,1.84157586511334e+000	4.63895309140571e-003,-3.06238447807222e-004	-1.46388346732732e+001,1.84151754266852e+000	2.44617885963775e-008,6.31327053127109e-011
7.96141199885091e+002	-1.46275506587921e+001,1.88267659080587e+000	4.63719018524059e-003,-3.13073571813840e-004	-1.46282140319793e+001,1.88261696682847e+000	2.44617895102693e-008,6.45884164664958e-011
8.14500000870932e+002	-1.46164506759787e+001,1.92463059503194e+000	4.63534777245827e-003,-3.20050627747634e-004	-1.46171144016811e+001,1.92456964250996e+000	2.44617904653743e-008,6.60776881713761e-011
8.33282150847739e+002	-1.46048508630755e+001,1.96745111901873e+000	4.63342244022376e-003,-3.27171826263692e-004	-1.46055149628290e+001,1.96738881128455e+000	2.44617914634011e-008,6.76012937981875e-011
8.52497412128872e+002	-1.45927295995251e+001,2.01115129133872e+000	4.63141051168623e-003,-3.34439341972125e-004	-1.45933940842231e+001,2.01108759980099e+000	2.44617925063688e-008,6.91600245266680e-011
8.72155772144002e+002	-1.45800643601425e+001,2.05574408136307e+000	4.62930833626498e-003,-3.41855346788415e-004	-1.45807292527131e+001,2.05567897856407e+000	2.44617935960835e-008,7.07546897370925e-011
8.92267448630227e+002	-1.45668317845266e+001,2.10124228755731e+000	4.62711194823986e-003,-3.49421960308792e-004	-1.45674970973293e+001,2.10117574405839e+000	2.44617947350065e-008,7.23861174226500e-011
9.12842894942904e+002	-1.45530075550557e+001,2.14765848327862e+000	4.62481739971474e-003,-3.57141289643315e-004	-1.45536733125221e+001,2.14759047085665e+000	2.44617959246736e-008,7.40551546247876e-011
9.33892805488941e+002	-1.45385664661254e+001,2.19500500130601e+000	4.62242041843855e-003,-3.65015376834807e-004	-1.45392326821975e+001,2.19493548970125e+000	2.44617971677491e-008,7.57626678721788e-011
9.55428121285379e+002	-1.45234823024947e+001,2.24329387378298e+000	4.61991674153852e-003,-3.73046240099945e-004	-1.45241490032254e+001,2.24322283404052e+000	2.44617984663307e-008,7.75095436669838e-011
9.77460035646155e+002	-1.45077279085681e+001,2.29253681249719e+000	4.61730177386201e-003,-3.81235818295058e-004	-1.45083951096049e+001,2.29246421357192e+000	2.44617998225337e-008,7.92966888830978e-011
1.00000000000000e+003	-1.44912750681348e+001,2.34274514263415e+000	4.61457091841064e-003,-3.89586012962367e-004	-1.44919427972763e+001,2.34267095488326e+000	2.44618012391176e-008,8.11250312399702e-011
1.02305972984251e+003	-1.44740945733363e+001,2.39392977809423e+000	4.61171924116786e-003,-3.98098630564544e-004	-1.44747628480654e+001,2.39385396973379e+000	2.44618027187753e-008,8.29955197666605e-011
1.04665121082543e+003	-1.44561561066163e+001,2.44610114861221e+000	4.60874179682026e-003,-4.06775425114799e-004	-1.44568249566081e+001,2.44602368936704e+000	2.44618042634809e-008,8.49091254098565e-011
1.07078670498640e+003	-1.44374282993044e+001,2.49926916689989e+000	4.60563333462982e-003,-4.15618043864183e-004	-1.44380977496105e+001,2.49919002527535e+000	2.44618058768063e-008,8.68668413163375e-011
1.09547875712234e+003	-1.44178786735872e+001,2.55344316366268e+000	4.60238842057659e-003,-4.24628037138281e-004	-1.44185487447004e+001,2.55336230688150e+000	2.44618075608091e-008,8.88696835978961e-011
1.12074020130978e+003	-1.43974735981389e+001,2.60863182144879e+000	4.59900151581166e-003,-4.33806862749232e-004	-1.43981443172242e+001,2.60854921740915e+000	2.44618093187391e-008,9.09186916486206e-011
1.14658416757563e+003	-1.43761782799406e+001,2.66484311395865e+000	4.59546693301635e-003,-4.43155869914224e-004	-1.43768496864153e+001,2.66475873237497e+000	2.44618111536408e-008,9.30149287712216e-011
1.17302408872162e+003	-1.43539568161258e+001,2.72208425922323e+000	4.59177858119701e-003,-4.52676242878174e-004	-1.43546289338005e+001,2.72199806655012e+000	2.44618130686904e-008,9.51594827297697e-011
1.20007370730629e+003	-1.43307720726215e+001,2.78036161976796e+000	4.58793034070090e-003,-4.62369055670889e-004	-1.43314449320668e+001,2.78027358327365e+000	2.44618150670037e-008,9.73534662270579e-011
1.22774708278787e+003	-1.43065857286260e+001,2.83968064464202e+000	4.58391585074538e-003,-4.72235222999964e-004	-1.43072593616282e+001,2.83959073142586e+000	2.44618171520596e-008,9.95980176082173e-011
1.25605859883189e+003	-1.42813582533375e+001,2.90004578807271e+000	4.57972855006238e-003,-4.82275494757350e-004	-1.42820326929369e+001,2.89995396509683e+000	2.44618193271229e-008,1.01894301362298e-010
1.28502297078731e+003	-1.42550488973984e+001,2.96146042753892e+000	4.57536167502223e-003,-4.92490442338600e-004	-1.42557241779281e+001,2.96136666166255e+000	2.44618215958096e-008,1.04243508726530e-010
1.31465525333509e+003	-1.42276156874669e+001,3.02392677788014e+000	4.57080825842087e-003,-5.02880444324479e-004	-1.42282918445913e+001,3.02383103589655e+000	2.44618239620507e-008,1.06646858245811e-010
1.34497084831303e+003	-1.41990154242501e+001,3.08744580138365e+000	4.56606112957487e-003,-5.13445671644068e-004	-1.41996924950041e+001,3.08734805006005e+000	2.44618264293417e-008,1.09105596603421e-010
1.37598551272118e+003	-1.41692036844184e+001,3.15201711384538e+000	4.56111291563902e-003,-5.24186072210786e-004	-1.41698817072460e+001,3.15191731996571e+000	2.44618290018803e-008,1.11620998956002e-010
1.40771536691173e+003	-1.41381348272426e+001,3.21763888681423e+000	4.55595604093401e-003,-5.35101354324243e-004	-1.41388138420354e+001,3.21753701722510e+000	2.44618316830631e-008,1.14194369848038e-010
1.44017690296787e+003	-1.41057620057873e+001,3.28430774579300e+000	4.55058272879020e-003,-5.46190969757605e-004	-1.41064420539230e+001,3.28420376745286e+000	2.44618344776412e-008,1.16827043726296e-010
1.47338699327573e+003	-1.40720371719029e+001,3.35201866030627e+000	4.54498504748222e-003,-5.57454106148015e-004	-1.40727183017389e+001,3.35191254163786e+000	2.44618373895893e-008,1.19520385788995e-010
1.50736289929413e+003	-1.40369111433554e+001,3.42076485092441e+000	4.53915474782787e-003,-5.68889630861073e-004	-1.40375933938840e+001,3.42065655799764e+000	2.44618404233598e-008,1.22275792424997e-010
1.54212228052647e+003	-1.40003335651149e+001,3.49053765173391e+000	4.53308351477437e-003,-5.80496128375056e-004	-1.40010169823942e+001,3.49042715217231e+000	2.44618435832471e-008,1.25094692177084e-010
1.57768320369953e+003	-1.39622529785086e+001,3.56132640573370e+000	4.52676284849228e-003,-5.92271853525029e-004	-1.39629376156420e+001,3.56121366888508e+000	2.44618468736813e-008,1.27978546373022e-010
1.61406415215390e+003	-1.39226168960706e+001,3.63311835809682e+000	4.52018395252297e-003,-6.04214681673138e-004	-1.39233027969844e+001,3.63300335098497e+000	2.44618502999503e-008,1.30928849853010e-010
1.65128403545105e+003	-1.38813717754144e+001,3.70589850333057e+000	4.51333802471228e-003,-6.16322157758068e-004	-1.38820589965426e+001,3.70578119625133e+000	2.44618538660280e-008,1.33947131805883e-010
1.68936219920180e+003	-1.38384631547415e+001,3.77964949035782e+000	4.50621598245550e-003,-6.28591405151026e-004	-1.38391517488303e+001,3.77952985278331e+000	2.44618575770835e-008,1.37034956562643e-010
1.72831843512154e+003	-1.37938356874870e+001,3.85435148211994e+000	4.49880859681626e-003,-6.41019134034391e-004	-1.37945257036877e+001,3.85422948266391e+000	2.44618614380791e-008,1.40193924214938e-010
1.76817299131727e+003	-1.37474331878226e+001,3.92998201197466e+000	4.49110662615981e-003,-6.53601653243056e-004	-1.37481246877797e+001,3.92985762293035e+000	2.44618654540181e-008,1.43425671713951e-010
1.80894658281186e+003	-1.36991987721458e+001,4.00651587592770e+000	4.48310062889839e-003,-6.66334795387168e-004	-1.36998918192515e+001,4.00638907048294e+000	2.44618696299947e-008,1.46731873472377e-010
1.85066040231103e+003	-1.36490749675165e+001,4.08392500720685e+000	4.47478093921381e-003,-6.79213880822330e-004	-1.36497696110498e+001,4.08379575478630e+000	2.44618739715731e-008,1.50114242379195e-010
1.89333613121855e+003	-1.35970037158806e+001,4.16217829612690e+000	4.46613808694617e-003,-6.92233810576186e-004	-1.35977000281638e+001,4.16204657342402e+000	2.44618784832860e-008,1.53574530677332e-010
1.93699595090551e+003	-1.35429266429694e+001,4.24124152757055e+000	4.45716225895020e-003,-7.05388885047208e-004	-1.35436246822980e+001,4.24110730762072e+000	2.44618831708756e-008,1.57114530709537e-010
1.98166255423943e+003	-1.34867850772165e+001,4.32107719839912e+000	4.44784375768999e-003,-7.18672908144448e-004	-1.34874849090354e+001,4.32094045701841e+000	2.44618880395570e-008,1.60736076021284e-010
2.02735915737920e+003	-1.34285202387614e+001,4.40164441006342e+000	4.43817286744783e-003,-7.32079121677159e-004	-1.34292219355823e+001,4.40150512607953e+000	2.44618930944913e-008,1.64441042219956e-010
2.07410951184210e+003	-1.33680734299779e+001,4.48289876151713e+000	4.42813976336092e-003,-7.45600146925796e-004	-1.33687770557351e+001,4.48275691179170e+000	2.44618983413699e-008,1.68231347953011e-010
2.12193791684896e+003	-1.33053861484355e+001,4.56479219963071e+000	4.41773477628699e-003,-7.59228038835621e-004	-1.33060917741434e+001,4.56464776423279e+000	2.44619037857157e-008,1.72108955813361e-010
2.17086923195407e+003	-1.32404003061650e+001,4.64727292181397e+000	4.40694830421646e-003,-7.72954231089293e-004	-1.32411080098095e+001,4.64712588426551e+000	2.44619094326697e-008,1.76075873609819e-010
