vcm	V(ve)	V(vo)	Ic(Q2)
3.700000000000001e+000	3.174458e+000	4.249832e+000	9.092945e-005
3.800000000000001e+000	3.274454e+000	4.249827e+000	9.093000e-005
3.900000000000001e+000	3.374449e+000	4.249823e+000	9.093054e-005
4.000000000000001e+000	3.474445e+000	4.249819e+000	9.093107e-005
4.100000000000001e+000	3.574440e+000	4.249815e+000	9.093150e-005
4.200000000000000e+000	3.674436e+000	4.249817e+000	9.093129e-005
4.300000000000000e+000	3.774431e+000	4.249856e+000	9.092655e-005
4.400000000000000e+000	3.874427e+000	4.250154e+000	9.089044e-005
4.499999999999999e+000	3.974420e+000	4.252169e+000	9.064603e-005
4.599999999999999e+000	4.074405e+000	4.263188e+000	8.931056e-005
4.699999999999998e+000	4.174371e+000	4.297630e+000	8.513143e-005
4.799999999999998e+000	4.274320e+000	4.356335e+000	7.800847e-005
4.899999999999998e+000	4.374259e+000	4.429501e+000	6.914927e-005
5.000000000000000e+000	4.474193e+000	4.510342e+000	5.935234e-005
