Freq.	V(vout)
7.96141199885091e+000	1.99952966384043e+000,-3.40774104550177e-002
8.14500000870932e+000	1.99950770472741e+000,-3.48629329286393e-002
8.33282150847739e+000	1.99948472156279e+000,-3.56665485740091e-002
8.52497412128872e+000	1.99946066660844e+000,-3.64886731455348e-002
8.72155772144001e+000	1.99943548990253e+000,-3.73297318808803e-002
8.92267448630226e+000	1.99940913915605e+000,-3.81901597122948e-002
9.12842894942904e+000	1.99938155964476e+000,-3.90704014822996e-002
9.33892805488941e+000	1.99935269409580e+000,-3.99709121637955e-002
9.55428121285378e+000	1.99932248256932e+000,-4.08921570846454e-002
9.77460035646155e+000	1.99929086233446e+000,-4.18346121568054e-002
1.00000000000000e+001	1.99925776773969e+000,-4.27987641100500e-002
1.02305972984251e+001	1.99922313007711e+000,-4.37851107303662e-002
1.04665121082543e+001	1.99918687744043e+000,-4.47941611030552e-002
1.07078670498640e+001	1.99914893457646e+000,-4.58264358606083e-002
1.09547875712234e+001	1.99910922272967e+000,-4.68824674354026e-002
1.12074020130978e+001	1.99906765947967e+000,-4.79628003172627e-002
1.14658416757563e+001	1.99902415857098e+000,-4.90679913159440e-002
1.17302408872162e+001	1.99897862973521e+000,-5.01986098285579e-002
1.20007370730629e+001	1.99893097850476e+000,-5.13552381120027e-002
1.22774708278787e+001	1.99888110601824e+000,-5.25384715604032e-002
1.25605859883189e+001	1.99882890881653e+000,-5.37489189876179e-002
1.28502297078731e+001	1.99877427863023e+000,-5.49872029148086e-002
1.31465525333509e+001	1.99871710215516e+000,-5.62539598630892e-002
1.34497084831303e+001	1.99865726082143e+000,-5.75498406513053e-002
1.37598551272118e+001	1.99859463054801e+000,-5.88755106988781e-002
1.40771536691173e+001	1.99852908148803e+000,-6.02316503337602e-002
1.44017690296787e+001	1.99846047776197e+000,-6.16189551054587e-002
1.47338699327573e+001	1.99838867717860e+000,-6.30381361031176e-002
1.50736289929413e+001	1.99831353094308e+000,-6.44899202786148e-002
1.54212228052647e+001	1.99823488335179e+000,-6.59750507746296e-002
1.57768320369953e+001	1.99815257147305e+000,-6.74942872576213e-002
1.61406415215390e+001	1.99806642481348e+000,-6.90484062556394e-002
1.65128403545105e+001	1.99797626496882e+000,-7.06382015009015e-002
1.68936219920180e+001	1.99788190525906e+000,-7.22644842769921e-002
1.72831843512154e+001	1.99778315034678e+000,-7.39280837706225e-002
1.76817299131726e+001	1.99767979583816e+000,-7.56298474277477e-002
1.80894658281186e+001	1.99757162786602e+000,-7.73706413139246e-002
1.85066040231103e+001	1.99745842265351e+000,-7.91513504787308e-002
1.89333613121855e+001	1.99733994605843e+000,-8.09728793240100e-002
1.93699595090551e+001	1.99721595309665e+000,-8.28361519757472e-002
1.98166255423943e+001	1.99708618744419e+000,-8.47421126592891e-002
2.02735915737920e+001	1.99695038091605e+000,-8.66917260776467e-002
2.07410951184210e+001	1.99680825292311e+000,-8.86859777925612e-002
2.12193791684896e+001	1.99665950990282e+000,-9.07258746079666e-002
2.17086923195407e+001	1.99650384472550e+000,-9.28124449554504e-002
2.22092888996635e+001	1.99634093607325e+000,-9.49467392813505e-002
2.27214291016839e+001	1.99617044779159e+000,-9.71298304349218e-002
2.32453791184045e+001	1.99599202821181e+000,-9.93628140571392e-002
2.37814112809616e+001	1.99580530944304e+000,-1.01646808969542e-001
2.43298042003741e+001	1.99560990663310e+000,-1.03982957562478e-001
2.48908429123559e+001	1.99540541719667e+000,-1.06372426182137e-001
2.54648190254672e+001	1.99519142000736e+000,-1.08816405515561e-001
2.60520308726828e+001	1.99496747455800e+000,-1.11316110972942e-001
2.66527836664556e+001	1.99473312008003e+000,-1.13872783066211e-001
2.72673896573548e+001	1.99448787462621e+000,-1.16487687783111e-001
2.78961682963639e+001	1.99423123411211e+000,-1.19162116955586e-001
2.85394464009192e+001	1.99396267131718e+000,-1.21897388621581e-001
2.91975583247791e+001	1.99368163484096e+000,-1.24694847378842e-001
2.98708461318094e+001	1.99338754801380e+000,-1.27555864729581e-001
3.05596597737761e+001	1.99307980776256e+000,-1.30481839414566e-001
3.12643572722383e+001	1.99275778342447e+000,-1.33474197735068e-001
3.19853049046358e+001	1.99242081551291e+000,-1.36534393861198e-001
3.27228773946670e+001	1.99206821442881e+000,-1.39663910124687e-001
3.34774581070575e+001	1.99169925911701e+000,-1.42864257294383e-001
3.42494392468202e+001	1.99131319566795e+000,-1.46136974832394e-001
3.50392220631093e+001	1.99090923585683e+000,-1.49483631128629e-001
3.58472170577762e+001	1.99048655562598e+000,-1.52905823711554e-001
3.66738441987343e+001	1.99004429350038e+000,-1.56405179432479e-001
3.75195331382434e+001	1.98958154893950e+000,-1.59983354620793e-001
3.83847234362283e+001	1.98909738062014e+000,-1.63642035207195e-001
3.92698647887472e+001	1.98859080465088e+000,-1.67382936811924e-001
4.01754172617275e+001	1.98806079271192e+000,-1.71207804794488e-001
4.11018515300930e+001	1.98750627012147e+000,-1.75118414261535e-001
4.20496491224038e+001	1.98692611382491e+000,-1.79116570029001e-001
4.30193026711388e+001	1.98631915030305e+000,-1.83204106534338e-001
4.40113161687483e+001	1.98568415339953e+000,-1.87382887694738e-001
4.50262052296129e+001	1.98501984206305e+000,-1.91654806706522e-001
4.60644973580411e+001	1.98432487800369e+000,-1.96021785780811e-001
4.71267322224485e+001	1.98359786325805e+000,-2.00485775810237e-001
4.82134619358584e+001	1.98283733766495e+000,-2.05048755961027e-001
4.93252513428714e+001	1.98204177624601e+000,-2.09712733184521e-001
5.04626783132518e+001	1.98120958649058e+000,-2.14479741641770e-001
5.16263340422848e+001	1.98033910554269e+000,-2.19351842034332e-001
5.28168233580590e+001	1.97942859728760e+000,-2.24331120834234e-001
5.40347650358353e+001	1.97847624933678e+000,-2.29419689405332e-001
5.52807921196651e+001	1.97748016990835e+000,-2.34619683007995e-001
5.65555522514245e+001	1.97643838460391e+000,-2.39933259678612e-001
5.78597080074362e+001	1.97534883307756e+000,-2.45362598974577e-001
5.91939372428541e+001	1.97420936559823e+000,-2.50909900575382e-001
6.05589334439887e+001	1.97301773950279e+000,-2.56577382729420e-001
6.19554060887576e+001	1.97177161554273e+000,-2.62367280535824e-001
6.33840810154473e+001	1.97046855411927e+000,-2.68281844049924e-001
6.48457007999791e+001	1.96910601141328e+000,-2.74323336200352e-001
6.63410251418748e+001	1.96768133540518e+000,-2.80494030505109e-001
6.78708312591215e+001	1.96619176179081e+000,-2.86796208573352e-001
6.94359142921434e+001	1.96463440979244e+000,-2.93232157378938e-001
7.10370877170878e+001	1.96300627786876e+000,-2.99804166290975e-001
7.26751837686424e+001	1.96130423932800e+000,-3.06514523846066e-001
7.43510538726019e+001	1.95952503784458e+000,-3.13365514246242e-001
7.60655690884099e+001	1.95766528289159e+000,-3.20359413565548e-001
7.78196205619054e+001	1.95572144508679e+000,-3.27498485648055e-001
7.96141199885094e+001	1.95368985146721e+000,-3.34784977678706e-001
8.14500000870935e+001	1.95156668069367e+000,-3.42221115408289e-001
8.33282150847742e+001	1.94934795820175e+000,-3.49809098012734e-001
8.52497412128875e+001	1.94702955130406e+000,-3.57551092566314e-001
8.72155772144005e+001	1.94460716426147e+000,-3.65449228107809e-001
8.92267448630230e+001	1.94207633333582e+000,-3.73505589278102e-001
9.12842894942907e+001	1.93943242183825e+000,-3.81722209506527e-001
9.33892805488944e+001	1.93667061519579e+000,-3.90101063723893e-001
9.55428121285382e+001	1.93378591605376e+000,-3.98644060578602e-001
9.77460035646158e+001	1.93077313943562e+000,-4.07353034132175e-001
1.00000000000001e+002	1.92762690798941e+000,-4.16229735011127e-001
1.02305972984252e+002	1.92434164734297e+000,-4.25275820990277e-001
1.04665121082543e+002	1.92091158160533e+000,-4.34492846984656e-001
1.07078670498640e+002	1.91733072904064e+000,-4.43882254425419e-001
1.09547875712234e+002	1.91359289795831e+000,-4.53445359997118e-001
1.12074020130979e+002	1.90969168285343e+000,-4.63183343712867e-001
1.14658416757563e+002	1.90562046084637e+000,-4.73097236306178e-001
1.17302408872162e+002	1.90137238846489e+000,-4.83187905917953e-001
1.20007370730630e+002	1.89694039882459e+000,-4.93456044059581e-001
1.22774708278788e+002	1.89231719925819e+000,-5.03902150834062e-001
1.25605859883189e+002	1.88749526945833e+000,-5.14526519399779e-001
1.28502297078732e+002	1.88246686019439e+000,-5.25329219663362e-001
1.31465525333509e+002	1.87722399267568e+000,-5.36310081192127e-001
1.34497084831303e+002	1.87175845863038e+000,-5.47468675338504e-001
1.37598551272118e+002	1.86606182118181e+000,-5.58804296574195e-001
1.40771536691174e+002	1.86012541660446e+000,-5.70315943036253e-001
1.44017690296787e+002	1.85394035704499e+000,-5.82002296291237e-001
1.47338699327573e+002	1.84749753430361e+000,-5.93861700331021e-001
