Freq.	V(vout)
2.54648190254672e+001	(6.01259045279102e+000dB,-3.12178065665219e+000°)
2.60520308726828e+001	(6.01221700296914e+000dB,-3.19370445648084e+000°)
2.66527836664556e+001	(6.01182615923473e+000dB,-3.26728230256862e+000°)
2.72673896573548e+001	(6.01141711280735e+000dB,-3.34255201918891e+000°)
2.78961682963639e+001	(6.01098901742773e+000dB,-3.41955228044205e+000°)
2.85394464009192e+001	(6.01054098763782e+000dB,-3.49832262827805e+000°)
2.91975583247791e+001	(6.01007209697622e+000dB,-3.57890349082453e+000°)
2.98708461318094e+001	(6.00958137609183e+000dB,-3.66133620102111e+000°)
3.05596597737761e+001	(6.00906781078040e+000dB,-3.74566301555428e+000°)
3.12643572722383e+001	(6.00853033992047e+000dB,-3.83192713409789e+000°)
3.19853049046358e+001	(6.00796785332758e+000dB,-3.92017271885120e+000°)
3.27228773946670e+001	(6.00737918950525e+000dB,-4.01044491437347e+000°)
3.34774581070575e+001	(6.00676313329389e+000dB,-4.10278986771395e+000°)
3.42494392468202e+001	(6.00611841342356e+000dB,-4.19725474882585e+000°)
3.50392220631093e+001	(6.00544369994157e+000dB,-4.29388777126869e+000°)
3.58472170577762e+001	(6.00473760154443e+000dB,-4.39273821318120e+000°)
3.66738441987343e+001	(6.00399866277490e+000dB,-4.49385643852796e+000°)
3.75195331382434e+001	(6.00322536110285e+000dB,-4.59729391860419e+000°)
3.83847234362283e+001	(6.00241610387147e+000dB,-4.70310325379272e+000°)
3.92698647887472e+001	(6.00156922511642e+000dB,-4.81133819555931e+000°)
4.01754172617275e+001	(6.00068298223451e+000dB,-4.92205366867708e+000°)
4.11018515300930e+001	(5.99975555251320e+000dB,-5.03530579366384e+000°)
4.20496491224038e+001	(5.99878502950709e+000dB,-5.15115190941835e+000°)
4.30193026711388e+001	(5.99776941925076e+000dB,-5.26965059603739e+000°)
4.40113161687483e+001	(5.99670663631232e+000dB,-5.39086169779620e+000°)
4.50262052296129e+001	(5.99559449967173e+000dB,-5.51484634627073e+000°)
4.60644973580411e+001	(5.99443072842564e+000dB,-5.64166698357555e+000°)
4.71267322224485e+001	(5.99321293729785e+000dB,-5.77138738570187e+000°)
4.82134619358584e+001	(5.99193863196628e+000dB,-5.90407268591512e+000°)
4.93252513428714e+001	(5.99060520418471e+000dB,-6.03978939819250e+000°)
5.04626783132518e+001	(5.98920992669751e+000dB,-6.17860544066440e+000°)
5.16263340422848e+001	(5.98774994793962e+000dB,-6.32059015902041e+000°)
5.28168233580590e+001	(5.98622228651170e+000dB,-6.46581434984799e+000°)
5.40347650358353e+001	(5.98462382542422e+000dB,-6.61435028385596e+000°)
5.52807921196651e+001	(5.98295130609765e+000dB,-6.76627172894223e+000°)
5.65555522514245e+001	(5.98120132211996e+000dB,-6.92165397305170e+000°)
5.78597080074362e+001	(5.97937031274008e+000dB,-7.08057384677404e+000°)
5.91939372428541e+001	(5.97745455609751e+000dB,-7.24310974562481e+000°)
6.05589334439887e+001	(5.97545016217175e+000dB,-7.40934165194856e+000°)
6.19554060887576e+001	(5.97335306545525e+000dB,-7.57935115636960e+000°)
6.33840810154473e+001	(5.97115901731919e+000dB,-7.75322147873553e+000°)
6.48457007999791e+001	(5.96886357808809e+000dB,-7.93103748845646e+000°)
6.63410251418748e+001	(5.96646210878906e+000dB,-8.11288572417756e+000°)
6.78708312591215e+001	(5.96394976258608e+000dB,-8.29885441268061e+000°)
6.94359142921434e+001	(5.96132147587757e+000dB,-8.48903348693237e+000°)
7.10370877170878e+001	(5.95857195905233e+000dB,-8.68351460317183e+000°)
7.26751837686424e+001	(5.95569568689824e+000dB,-8.88239115692684e+000°)
7.43510538726019e+001	(5.95268688863717e+000dB,-9.08575829786528e+000°)
7.60655690884099e+001	(5.94953953760851e+000dB,-9.29371294332054e+000°)
7.78196205619054e+001	(5.94624734055534e+000dB,-9.50635379040747e+000°)
7.96141199885094e+001	(5.94280372653922e+000dB,-9.72378132654589e+000°)
8.14500000870935e+001	(5.93920183544412e+000dB,-9.94609783828535e+000°)
8.33282150847742e+001	(5.93543450609129e+000dB,-1.01734074182406e+001°)
8.52497412128875e+001	(5.93149426393054e+000dB,-1.04058159700010e+001°)
8.72155772144005e+001	(5.92737330832253e+000dB,-1.06434312108185e+001°)
8.92267448630230e+001	(5.92306349939816e+000dB,-1.08863626719017e+001°)
9.12842894942907e+001	(5.91855634448029e+000dB,-1.11347216961195e+001°)
9.33892805488944e+001	(5.91384298408379e+000dB,-1.13886214329043e+001°)
9.55428121285382e+001	(5.90891417747767e+000dB,-1.16481768301423e+001°)
9.77460035646158e+001	(5.90376028780335e+000dB,-1.19135046228242e+001°)
1.00000000000001e+002	(5.89837126676666e+000dB,-1.21847233182156e+001°)
1.02305972984252e+002	(5.89273663887892e+000dB,-1.24619531773026e+001°)
1.04665121082543e+002	(5.88684548528097e+000dB,-1.27453161922370e+001°)
1.07078670498640e+002	(5.88068642712233e+000dB,-1.30349360595307e+001°)
