v1	Ic(Q1)	Ic(Q2)
-1.509999999999999e-001	3.738956e-006	1.785021e-004
-1.499999999999999e-001	3.833960e-006	1.784046e-004
-1.489999999999999e-001	3.931325e-006	1.783047e-004
-1.479999999999999e-001	4.031108e-006	1.782025e-004
-1.469999999999999e-001	4.133364e-006	1.780977e-004
-1.459999999999999e-001	4.238152e-006	1.779903e-004
-1.449999999999999e-001	4.345531e-006	1.778804e-004
-1.439999999999999e-001	4.455563e-006	1.777677e-004
-1.429999999999999e-001	4.568309e-006	1.776524e-004
-1.419999999999999e-001	4.683831e-006	1.775342e-004
-1.409999999999999e-001	4.802197e-006	1.774132e-004
-1.399999999999999e-001	4.923469e-006	1.772892e-004
-1.389999999999999e-001	5.047716e-006	1.771622e-004
-1.379999999999999e-001	5.175006e-006	1.770322e-004
-1.369999999999999e-001	5.305409e-006	1.768991e-004
-1.359999999999999e-001	5.438996e-006	1.767627e-004
-1.349999999999999e-001	5.575840e-006	1.766231e-004
-1.339999999999999e-001	5.716014e-006	1.764801e-004
-1.329999999999999e-001	5.859593e-006	1.763336e-004
-1.319999999999999e-001	6.006655e-006	1.761837e-004
-1.309999999999999e-001	6.157277e-006	1.760302e-004
-1.299999999999999e-001	6.311539e-006	1.758730e-004
-1.289999999999999e-001	6.469522e-006	1.757121e-004
-1.279999999999999e-001	6.631308e-006	1.755474e-004
-1.269999999999999e-001	6.796981e-006	1.753787e-004
-1.259999999999999e-001	6.966627e-006	1.752061e-004
-1.249999999999999e-001	7.140332e-006	1.750294e-004
-1.239999999999999e-001	7.318185e-006	1.748485e-004
-1.229999999999999e-001	7.500276e-006	1.746633e-004
-1.219999999999999e-001	7.686695e-006	1.744738e-004
-1.209999999999999e-001	7.877535e-006	1.742799e-004
-1.199999999999999e-001	8.072891e-006	1.740814e-004
-1.189999999999999e-001	8.272857e-006	1.738783e-004
-1.179999999999999e-001	8.477532e-006	1.736704e-004
-1.169999999999999e-001	8.687014e-006	1.734578e-004
