Time (s),Channel 1 (V),Channel 2 (V)
-0.00450375,0.031622151,0.104341944
-0.0045025,0.02363312,0.088590569
-0.00450125,0.015773363,0.072835395
-0.0045,0.008037663,0.057106458
-0.00449875,0.000240146,0.041375983
-0.0044975,-0.007798485,0.025656422
-0.00449625,-0.015799496,0.009525013
-0.004495,-0.023572932,-0.005678815
-0.00449375,-0.031442066,-0.021847415
-0.0044925,-0.039543245,-0.037997934
-0.00449125,-0.04715883,-0.052663982
-0.00449,-0.05508783,-0.068609615
-0.00448875,-0.062976813,-0.084346017
-0.0044875,-0.070984458,-0.100374087
-0.00448625,-0.078690608,-0.115772804
-0.004485,-0.08647146,-0.131867579
-0.00448375,-0.094380258,-0.147602161
-0.0044825,-0.102245171,-0.162788902
-0.00448125,-0.110212322,-0.179128988
-0.00448,-0.117974721,-0.194828184
-0.00447875,-0.125620794,-0.209693507
-0.0044775,-0.133307917,-0.225484376
-0.00447625,-0.141313418,-0.240346589
-0.004475,-0.14915317,-0.256317775
-0.00447375,-0.156955052,-0.272171872
-0.0044725,-0.164679679,-0.287593044
-0.00447125,-0.172368443,-0.303195342
-0.00447,-0.180044853,-0.318389181
-0.00446875,-0.187652697,-0.333676498
-0.0044675,-0.195701995,-0.349373324
-0.00446625,-0.20321792,-0.364811946
-0.004465,-0.211056776,-0.380437797
-0.00446375,-0.218852083,-0.396093218
-0.0044625,-0.226357961,-0.410971866
-0.00446125,-0.234340417,-0.426333721
-0.00446,-0.241809934,-0.441441542
-0.00445875,-0.249246741,-0.456649701
-0.0044575,-0.257040078,-0.472020984
-0.00445625,-0.264670329,-0.487517557
-0.004455,-0.272105508,-0.502507998
-0.00445375,-0.279603434,-0.516840469
-0.0044525,-0.28707651,-0.531773032
-0.00445125,-0.294488069,-0.54714033
-0.00445,-0.302075261,-0.561577131
-0.00444875,-0.309466012,-0.577561986
-0.0044475,-0.317163248,-0.591945068
-0.00444625,-0.324916661,-0.607092729
-0.004445,-0.332151596,-0.621746536
-0.00444375,-0.339434438,-0.636222519
-0.0044425,-0.346974828,-0.650714389
-0.00444125,-0.354427882,-0.66643003
-0.00444,-0.361675465,-0.680515666
-0.00443875,-0.369045736,-0.694892878
-0.0044375,-0.376289958,-0.70986349
-0.00443625,-0.383653968,-0.724219749
-0.004435,-0.390887651,-0.738698776
-0.00443375,-0.398009936,-0.753125163
-0.0044325,-0.405231473,-0.767205327
-0.00443125,-0.412505925,-0.781079847
-0.00443,-0.419610035,-0.795469933
-0.00442875,-0.426762446,-0.809607382
-0.0044275,-0.433920278,-0.824269906
-0.00442625,-0.441037682,-0.83866908
-0.004425,-0.448184677,-0.852808838
-0.00442375,-0.454930541,-0.865866193
-0.0044225,-0.461741466,-0.879517812
-0.00442125,-0.468827898,-0.893429341
-0.00442,-0.4758379,-0.907510527
-0.00441875,-0.482506058,-0.921169626
-0.0044175,-0.489282926,-0.934800205
-0.00441625,-0.496447547,-0.948661877
-0.004415,-0.503452094,-0.962449895
-0.00441375,-0.510242918,-0.976247838
-0.0044125,-0.516743753,-0.98893511
-0.00441125,-0.523304224,-1.002235635
-0.00441,-0.530231919,-1.015978382
-0.00440875,-0.536870803,-1.029163748
-0.0044075,-0.543441419,-1.042370729
-0.00440625,-0.549801837,-1.055170213
-0.004405,-0.556549769,-1.068233245
-0.00440375,-0.563045892,-1.081560546
-0.0044025,-0.569464117,-1.094402466
-0.00440125,-0.575968535,-1.106836253
-0.0044,-0.582499001,-1.119921764
-0.00439875,-0.588689402,-1.132206349
-0.0043975,-0.594846723,-1.144482332
-0.00439625,-0.601271979,-1.157230405
-0.004395,-0.607472146,-1.169778493
-0.00439375,-0.613495433,-1.182055285
-0.0043925,-0.619933525,-1.194855263
-0.00439125,-0.626217901,-1.206809996
-0.00439,-0.632077105,-1.218389129
-0.00438875,-0.637985268,-1.230794447
-0.0043875,-0.644163248,-1.242766947
-0.00438625,-0.6502326,-1.255006708
-0.004385,-0.655907711,-1.265937408
-0.00438375,-0.661740367,-1.278184408
-0.0043825,-0.668073575,-1.290483775
-0.00438125,-0.674051309,-1.30192764
-0.00438,-0.679534655,-1.313090903
-0.00437875,-0.684979225,-1.323912369
-0.0043775,-0.690802569,-1.335596904
-0.00437625,-0.696526358,-1.346984357
-0.004375,-0.702081537,-1.357852681
-0.00437375,-0.707667742,-1.369488176
-0.0043725,-0.713376305,-1.380277798
-0.00437125,-0.718846021,-1.391437528
-0.00437,-0.724016065,-1.40216746
-0.00436875,-0.729438499,-1.413013275
-0.0043675,-0.735091368,-1.423686782
-0.00436625,-0.740172574,-1.43388254
-0.004365,-0.744930403,-1.44334837
-0.00436375,-0.750265465,-1.454380504
-0.0043625,-0.755760934,-1.464889891
-0.00436125,-0.760945338,-1.474945447
-0.00436,-0.765874787,-1.485567739
-0.00435875,-0.770701599,-1.495088034
-0.0043575,-0.775932595,-1.505592224
-0.00435625,-0.780807961,-1.514954378
-0.004355,-0.785696395,-1.52451035
-0.00435375,-0.790319228,-1.534141878
-0.0043525,-0.795231967,-1.544019667
-0.00435125,-0.799795054,-1.553307164
-0.00435,-0.804513613,-1.562433749
-0.00434875,-0.80928075,-1.572035878
-0.0043475,-0.813769244,-1.580657906
-0.00434625,-0.818205565,-1.590018486
-0.004345,-0.82257975,-1.598834044
-0.00434375,-0.826976013,-1.607524051
-0.0043425,-0.831366817,-1.616660846
-0.00434125,-0.835585652,-1.624675706
-0.00434,-0.83995805,-1.63273128
-0.00433875,-0.844219712,-1.641497253
-0.0043375,-0.848400197,-1.649681407
-0.00433625,-0.852652367,-1.658560824
-0.004335,-0.856431175,-1.665797254
-0.00433375,-0.860378273,-1.674079853
-0.0043325,-0.864778273,-1.682170125
-0.00433125,-0.868582436,-1.689783625
-0.00433,-0.872065408,-1.697242711
-0.00432875,-0.875863689,-1.704897739
-0.0043275,-0.879472482,-1.711898121
-0.00432625,-0.883417294,-1.719416491
-0.004325,-0.887250747,-1.727046484
-0.00432375,-0.890571265,-1.73393709
-0.0043225,-0.894192085,-1.741071738
-0.00432125,-0.897638886,-1.747832957
-0.00432,-0.900976504,-1.754860413
-0.00431875,-0.904342086,-1.761511821
-0.0043175,-0.907529635,-1.767712781
-0.00431625,-0.910712227,-1.774263431
-0.004315,-0.913767217,-1.780594916
-0.00431375,-0.916717606,-1.786532936
-0.0043125,-0.920011655,-1.793303531
-0.00431125,-0.923026233,-1.79891416
-0.00431,-0.926152768,-1.804867735
-0.00430875,-0.929148787,-1.810926919
-0.0043075,-0.931977165,-1.816612577
-0.00430625,-0.934647667,-1.821667281
-0.004305,-0.937273671,-1.826590296
-0.00430375,-0.939811028,-1.832087619
-0.0043025,-0.942378911,-1.837857776
-0.00430125,-0.945120582,-1.843006187
-0.0043,-0.947415875,-1.847594934
-0.00429875,-0.950068141,-1.853191832
-0.0042975,-0.952539315,-1.857406021
-0.00429625,-0.95476274,-1.862127142
-0.004295,-0.956944297,-1.86678399
-0.00429375,-0.958950712,-1.871063063
-0.0042925,-0.960945273,-1.87531233
-0.00429125,-0.96319405,-1.879379164
-0.00429,-0.965091933,-1.88267663
-0.00428875,-0.967193814,-1.887153938
-0.0042875,-0.969188453,-1.890381816
-0.00428625,-0.970898508,-1.894127259
-0.004285,-0.972672065,-1.898051868
-0.00428375,-0.974295983,-1.901149567
-0.0042825,-0.976048037,-1.904194874
-0.00428125,-0.977908935,-1.908033652
-0.00428,-0.979346927,-1.910809226
-0.00427875,-0.980637735,-1.913179054
-0.0042775,-0.982108194,-1.916623664
-0.00427625,-0.983280125,-1.918891456
-0.004275,-0.98442005,-1.921202488
-0.00427375,-0.985846424,-1.924022909
-0.0042725,-0.986975243,-1.926122187
-0.00427125,-0.987990209,-1.927974807
-0.00427,-0.989288061,-1.930282401
-0.00426875,-0.990122472,-1.932398209
-0.0042675,-0.991078726,-1.934412965
-0.00426625,-0.992152553,-1.936684388
-0.004265,-0.993063498,-1.937661611
-0.00426375,-0.993565616,-1.938313067
-0.0042625,-0.994367189,-1.940478033
-0.00426125,-0.994883031,-1.941576332
-0.00426,-0.995454519,-1.942566434
-0.00425875,-0.996138935,-1.943821421
-0.0042575,-0.996500268,-1.944476844
-0.00425625,-0.996726345,-1.944863541
-0.004255,-0.997186267,-1.945728347
-0.00425375,-0.997306004,-1.946275058
-0.0042525,-0.997797486,-1.946788009
-0.00425125,-0.997741521,-1.94650021
-0.00425,-0.997667109,-1.946527967
-0.00424875,-0.997609648,-1.94652285
-0.0042475,-0.997674357,-1.946780982
-0.00424625,-0.997592877,-1.946100125
-0.004245,-0.997466056,-1.945789527
-0.00424375,-0.997145167,-1.945257491
-0.0042425,-0.996641381,-1.944815925
-0.00424125,-0.996545489,-1.944053101
-0.00424,-0.996075951,-1.943247175
-0.00423875,-0.995399326,-1.941821513
-0.0042375,-0.994966043,-1.941014604
-0.00423625,-0.994400984,-1.939910415
-0.004235,-0.99374116,-1.938461017
-0.00423375,-0.992724816,-1.936513528
-0.0042325,-0.991808856,-1.935006537
-0.00423125,-0.99104795,-1.933088947
-0.00423,-0.990190191,-1.931135843
-0.00422875,-0.989248937,-1.929507394
-0.0042275,-0.988268653,-1.927392265
-0.00422625,-0.987105492,-1.924752302
-0.004225,-0.985928061,-1.922807843
-0.00422375,-0.984593761,-1.920548713
-0.0042225,-0.983195859,-1.9174532
-0.00422125,-0.982011091,-1.914614153
-0.00422,-0.980964244,-1.912316148
-0.00421875,-0.979253396,-1.908861333
-0.0042175,-0.977644132,-1.905906352
-0.00421625,-0.976060783,-1.902644767
-0.004215,-0.974453776,-1.899066809
-0.00421375,-0.972626221,-1.895325791
-0.0042125,-0.970791253,-1.891732315
-0.00421125,-0.96896017,-1.888278046
-0.00421,-0.966980618,-1.884393488
-0.00420875,-0.965114874,-1.881218512
-0.0042075,-0.96295784,-1.876731193
-0.00420625,-0.96101096,-1.872406053
-0.004205,-0.958999065,-1.868397936
-0.00420375,-0.956856828,-1.864402745
-0.0042025,-0.954542097,-1.859546154
-0.00420125,-0.952309936,-1.85500208
-0.0042,-0.949940486,-1.850221251
-0.00419875,-0.947464259,-1.844786202
-0.0041975,-0.944913121,-1.839713314
-0.00419625,-0.942176027,-1.834110211
-0.004195,-0.9399683,-1.829802555
-0.00419375,-0.937349,-1.824891912
-0.0041925,-0.93436448,-1.818765953
-0.00419125,-0.931817329,-1.813143814
-0.00419,-0.928910213,-1.807279667
-0.00418875,-0.926082095,-1.801725586
-0.0041875,-0.923029237,-1.795232136
-0.00418625,-0.919871884,-1.789313803
-0.004185,-0.916717314,-1.783279814
-0.00418375,-0.913551235,-1.776736087
-0.0041825,-0.91063082,-1.770985406
-0.00418125,-0.907700758,-1.764773402
-0.00418,-0.904120746,-1.758117409
-0.00417875,-0.900783072,-1.750654128
-0.0041775,-0.897461892,-1.744053102
-0.00417625,-0.894060902,-1.736965078
-0.004175,-0.89078964,-1.730225305
-0.00417375,-0.887266675,-1.723108382
-0.0041725,-0.88328585,-1.715165886
-0.00417125,-0.879590126,-1.708362203
-0.00417,-0.875719055,-1.70049694
-0.00416875,-0.871955171,-1.692762265
-0.0041675,-0.868310362,-1.685456564
-0.00416625,-0.86432873,-1.677276289
-0.004165,-0.860170693,-1.66903529
