Time (s),Channel 1 (V)
-0.000286698,-2.545310339
-0.000286628,-2.504161164
-0.000286558,-2.459271155
-0.000286488,-2.403158644
-0.000286418,-2.350786967
-0.000286348,-2.298415289
-0.000286278,-2.249784446
-0.000286208,-2.193671935
-0.000286138,-2.137559424
-0.000286068,-2.081446913
-0.000285998,-2.03281607
-0.000285928,-1.980444393
-0.000285858,-1.935554384
-0.000285788,-1.879441872
-0.000285718,-1.830811029
-0.000285648,-1.778439352
-0.000285578,-1.722326841
-0.000285508,-1.654991827
-0.000285438,-1.598879316
-0.000285368,-1.542766805
-0.000285298,-1.497876796
-0.000285228,-1.434282617
-0.000285158,-1.370688437
-0.000285088,-1.310835092
-0.000285018,-1.258463415
-0.000284948,-1.198610069
-0.000284878,-1.146238392
-0.000284808,-1.086385047
-0.000284738,-1.022790868
-0.000284668,-0.962937522
-0.000284598,-0.910565845
-0.000284528,-0.8507125
-0.000284458,-0.794599989
-0.000284388,-0.738487477
-0.000284318,-0.678634132
-0.000284248,-0.615039953
-0.000284178,-0.558927441
-0.000284108,-0.491592428
-0.000284038,-0.427998249
-0.000283968,-0.368144903
-0.000283898,-0.30080989
-0.000283828,-0.23721571
-0.000283758,-0.169880697
-0.000283688,-0.110027352
-0.000283618,-0.061396509
-0.000283548,0.005938505
-0.000283478,0.058310182
-0.000283408,0.121904361
-0.000283338,0.189239375
-0.000283268,0.24909272
-0.000283198,0.320168568
-0.000283128,0.376281079
-0.000283058,0.436134424
-0.000282988,0.510951106
-0.000282918,0.567063617
-0.000282848,0.630657796
-0.000282778,0.701733644
-0.000282708,0.776550326
-0.000282638,0.828922003
-0.000282568,0.896257016
-0.000282498,0.967332864
-0.000282428,1.030927043
-0.000282358,1.094521223
-0.000282288,1.161856236
-0.000282218,1.22919125
-0.000282148,1.300267097
-0.000282078,1.363861276
-0.000282008,1.43119629
-0.000281938,1.494790469
-0.000281868,1.550902981
-0.000281798,1.618237994
-0.000281728,1.685573007
-0.000281658,1.749167187
-0.000281588,1.809020532
-0.000281518,1.891318882
-0.000281448,1.958653895
-0.000281378,2.014766407
-0.000281308,2.097064756
-0.000281238,2.156918102
-0.000281168,2.220512281
-0.000281098,2.276624792
-0.000281028,2.343959806
-0.000280958,2.407553985
-0.000280888,2.471148165
-0.000280818,2.542224012
-0.000280748,2.605818192
-0.000280678,2.688116541
-0.000280608,2.762933223
-0.000280538,2.826527402
-0.000280468,2.901344084
-0.000280398,2.968679097
-0.000280328,3.024791609
-0.000280258,3.09960829
-0.000280188,3.159461636
-0.000280118,3.219314981
-0.000280048,3.279168326
-0.000279978,3.34650334
-0.000279908,3.421320021
-0.000279838,3.484914201
-0.000279768,3.552249214
-0.000279698,3.623325062
-0.000279628,3.690660075
-0.000279558,3.754254255
-0.000279488,3.821589268
-0.000279418,3.881442613
-0.000279348,3.945036793
-0.000279278,4.01611264
-0.000279208,4.090929322
-0.000279138,4.158264335
-0.000279068,4.210636013
-0.000278998,4.28171186
-0.000278928,4.341565205
-0.000278858,4.401418551
-0.000278788,4.457531062
-0.000278718,4.517384407
-0.000278648,4.569756084
-0.000278578,4.614646093
-0.000278508,4.663276936
-0.000278438,4.696944443
-0.000278368,4.73061195
-0.000278298,4.760538623
-0.000278228,4.782983627
-0.000278158,4.801687797
-0.000278088,4.816651134
-0.000278018,4.83161447
-0.000277948,4.846577806
-0.000277878,4.857800309
-0.000277808,4.865281977
-0.000277738,4.872763645
-0.000277668,4.880245313
-0.000277598,4.891467815
-0.000277528,4.891467815
-0.000277458,4.89520865
-0.000277388,4.906431152
-0.000277318,4.898949484
-0.000277248,4.898949484
-0.000277178,4.902690318
-0.000277108,4.910171986
-0.000277038,4.898949484
-0.000276968,4.906431152
-0.000276898,4.902690318
-0.000276828,4.891467815
-0.000276758,4.898949484
-0.000276688,4.898949484
-0.000276618,4.910171986
-0.000276548,4.91391282
-0.000276478,4.91391282
-0.000276408,4.91391282
-0.000276338,4.917653654
-0.000276268,4.91391282
-0.000276198,4.925135322
-0.000276128,4.925135322
-0.000276058,4.925135322
-0.000275988,4.921394488
-0.000275918,4.917653654
-0.000275848,4.917653654
-0.000275778,4.917653654
-0.000275708,4.921394488
-0.000275638,4.91391282
-0.000275568,4.921394488
-0.000275498,4.925135322
-0.000275428,4.936357824
-0.000275358,4.928876156
-0.000275288,4.928876156
-0.000275218,4.928876156
-0.000275148,4.925135322
-0.000275078,4.928876156
-0.000275008,4.928876156
-0.000274938,4.936357824
-0.000274868,4.936357824
-0.000274798,4.928876156
-0.000274728,4.921394488
-0.000274658,4.921394488
-0.000274588,4.925135322
-0.000274518,4.925135322
-0.000274448,4.93261699
-0.000274378,4.925135322
-0.000274308,4.928876156
-0.000274238,4.936357824
-0.000274168,4.943839493
-0.000274098,4.940098659
-0.000274028,4.940098659
-0.000273958,4.947580327
-0.000273888,4.947580327
-0.000273818,4.940098659
-0.000273748,4.947580327
-0.000273678,4.943839493
-0.000273608,4.951321161
-0.000273538,4.947580327
-0.000273468,4.947580327
-0.000273398,4.955061995
-0.000273328,4.955061995
-0.000273258,4.955061995
-0.000273188,4.947580327
-0.000273118,4.947580327
-0.000273048,4.943839493
-0.000272978,4.943839493
-0.000272908,4.943839493
-0.000272838,4.951321161
-0.000272768,4.951321161
-0.000272698,4.951321161
-0.000272628,4.947580327
-0.000272558,4.955061995
-0.000272488,4.943839493
-0.000272418,4.947580327
-0.000272348,4.943839493
-0.000272278,4.943839493
-0.000272208,4.940098659
-0.000272138,4.943839493
-0.000272068,4.940098659
-0.000271998,4.951321161
-0.000271928,4.955061995
-0.000271858,4.951321161
-0.000271788,4.955061995
-0.000271718,4.958802829
-0.000271648,4.958802829
-0.000271578,4.962543663
-0.000271508,4.962543663
-0.000271438,4.962543663
-0.000271368,4.962543663
-0.000271298,4.962543663
-0.000271228,4.962543663
-0.000271158,4.958802829
-0.000271088,4.970025331
-0.000271018,4.958802829
-0.000270948,4.958802829
-0.000270878,4.958802829
-0.000270808,4.962543663
-0.000270738,4.962543663
-0.000270668,4.966284497
-0.000270598,4.970025331
-0.000270528,4.970025331
-0.000270458,4.970025331
-0.000270388,4.966284497
-0.000270318,4.970025331
-0.000270248,4.984988667
-0.000270178,4.988729502
-0.000270108,4.977506999
-0.000270038,4.992470336
-0.000269968,4.988729502
-0.000269898,4.984988667
-0.000269828,4.984988667
-0.000269758,4.977506999
-0.000269688,4.984988667
-0.000269618,4.981247833
-0.000269548,4.981247833
-0.000269478,4.977506999
-0.000269408,4.977506999
-0.000269338,4.988729502
-0.000269268,4.984988667
-0.000269198,4.977506999
-0.000269128,4.988729502
-0.000269058,4.988729502
-0.000268988,4.981247833
-0.000268918,4.977506999
