Freq.	V(v0)
4.11018515300929e-001	-4.51849680136302e-008,-7.53854820895218e-011
4.20496491224037e-001	-4.51849680136302e-008,-7.71238509405534e-011
4.30193026711386e-001	-4.51849680170985e-008,-7.89023061076556e-011
4.40113161687482e-001	-4.51849680170985e-008,-8.07217719704489e-011
4.50262052296127e-001	-4.51849680205668e-008,-8.25831942244956e-011
4.60644973580410e-001	-4.51849680309718e-008,-8.44875403728429e-011
4.71267322224483e-001	-4.51849680309718e-008,-8.64358002288985e-011
4.82134619358582e-001	-4.51849680344401e-008,-8.84289864308973e-011
4.93252513428712e-001	-4.51849680344401e-008,-9.04681349682403e-011
5.04626783132517e-001	-4.51849680309718e-008,-9.25543057199627e-011
5.16263340422847e-001	-4.51849680309718e-008,-9.46885830056255e-011
5.28168233580588e-001	-4.51849680413768e-008,-9.68720761489041e-011
5.40347650358352e-001	-4.51849680413768e-008,-9.91059200541804e-011
5.52807921196650e-001	-4.51849680448451e-008,-1.01391275796422e-010
5.65555522514243e-001	-4.51849680448451e-008,-1.03729331224674e-010
5.78597080074361e-001	-4.51849680517818e-008,-1.06121301579458e-010
5.91939372428540e-001	-4.51849680552501e-008,-1.08568430124414e-010
6.05589334439886e-001	-4.51849680587184e-008,-1.11071988792507e-010
6.19554060887574e-001	-4.51849680621868e-008,-1.13633278847132e-010
6.33840810154471e-001	-4.51849680656551e-008,-1.16253631558464e-010
6.48457007999789e-001	-4.51849680621868e-008,-1.18934408895412e-010
6.63410251418746e-001	-4.51849680725918e-008,-1.21677004233517e-010
6.78708312591213e-001	-4.51849680760601e-008,-1.24482843079185e-010
6.94359142921431e-001	-4.51849680829968e-008,-1.27353383810617e-010
7.10370877170875e-001	-4.51849680934017e-008,-1.30290118435817e-010
7.26751837686421e-001	-4.51849680934017e-008,-1.33294573368095e-010
7.43510538726017e-001	-4.51849681003384e-008,-1.36368310219434e-010
7.60655690884097e-001	-4.51849680968701e-008,-1.39512926612171e-010
7.78196205619051e-001	-4.51849681142117e-008,-1.42730057009383e-010
7.96141199885092e-001	-4.51849681176801e-008,-1.46021373564423e-010
8.14500000870932e-001	-4.51849681176801e-008,-1.49388586990048e-010
8.33282150847739e-001	-4.51849681211484e-008,-1.52833447447590e-010
8.52497412128873e-001	-4.51849681246167e-008,-1.56357745456628e-010
8.72155772144002e-001	-4.51849681350217e-008,-1.59963312825638e-010
8.92267448630227e-001	-4.51849681419584e-008,-1.63652023604106e-010
9.12842894942905e-001	-4.51849681523634e-008,-1.67425795056593e-010
9.33892805488942e-001	-4.51849681558317e-008,-1.71286588659262e-010
9.55428121285379e-001	-4.51849681697050e-008,-1.75236411119384e-010
9.77460035646155e-001	-4.51849681697050e-008,-1.79277315418364e-010
1.00000000000000e+000	-4.51849681766417e-008,-1.83411401878796e-010
1.02305972984251e+000	-4.51849681905150e-008,-1.87640819256153e-010
1.04665121082543e+000	-4.51849681974516e-008,-1.91967765855620e-010
1.07078670498640e+000	-4.51849682113250e-008,-1.96394490674715e-010
1.09547875712234e+000	-4.51849682182616e-008,-2.00923294572225e-010
1.12074020130978e+000	-4.51849682182616e-008,-2.05556531464121e-010
1.14658416757563e+000	-4.51849682390716e-008,-2.10296609547038e-010
1.17302408872162e+000	-4.51849682529449e-008,-2.15145992549981e-010
1.20007370730629e+000	-4.51849682564133e-008,-2.20107201014873e-010
1.22774708278787e+000	-4.51849682702866e-008,-2.25182813606658e-010
1.25605859883189e+000	-4.51849682876282e-008,-2.30375468453594e-010
1.28502297078731e+000	-4.51849682945649e-008,-2.35687864518465e-010
1.31465525333509e+000	-4.51849683084382e-008,-2.41122763001409e-010
1.34497084831303e+000	-4.51849683292482e-008,-2.46682988775087e-010
1.37598551272118e+000	-4.51849683465898e-008,-2.52371431852970e-010
1.40771536691173e+000	-4.51849683569948e-008,-2.58191048891454e-010
1.44017690296787e+000	-4.51849683708681e-008,-2.64144864726630e-010
1.47338699327573e+000	-4.51849683916781e-008,-2.70235973946497e-010
1.50736289929413e+000	-4.51849684090198e-008,-2.76467542499413e-010
1.54212228052647e+000	-4.51849684332981e-008,-2.82842809339650e-010
1.57768320369953e+000	-4.51849684471714e-008,-2.89365088110901e-010
1.61406415215390e+000	-4.51849684749180e-008,-2.96037768868572e-010
1.65128403545105e+000	-4.51849685061330e-008,-3.02864319841839e-010
1.68936219920180e+000	-4.51849685234747e-008,-3.09848289236304e-010
1.72831843512154e+000	-4.51849685546896e-008,-3.16993307078228e-010
1.76817299131727e+000	-4.51849685754996e-008,-3.24303087101309e-010
1.80894658281186e+000	-4.51849686067146e-008,-3.31781428676927e-010
1.85066040231103e+000	-4.51849686275246e-008,-3.39432218788948e-010
1.89333613121855e+000	-4.51849686587395e-008,-3.47259434054032e-010
1.93699595090551e+000	-4.51849686864862e-008,-3.55267142788548e-010
1.98166255423943e+000	-4.51849687246378e-008,-3.63459507123133e-010
2.02735915737920e+000	-4.51849687593211e-008,-3.71840785166043e-010
2.07410951184210e+000	-4.51849687905361e-008,-3.80415333216351e-010
2.12193791684896e+000	-4.51849688286877e-008,-3.89187608028221e-010
2.17086923195407e+000	-4.51849688737760e-008,-3.98162169127355e-010
2.22092888996635e+000	-4.51849689084593e-008,-4.07343681180890e-010
2.27214291016840e+000	-4.51849689466109e-008,-4.16736916421917e-010
2.32453791184045e+000	-4.51849689951675e-008,-4.26346757129944e-010
2.37814112809616e+000	-4.51849690437241e-008,-4.36178198168521e-010
2.43298042003741e+000	-4.51849690922808e-008,-4.46236349581411e-010
2.48908429123559e+000	-4.51849691443057e-008,-4.56526439248591e-010
